_id,index,dataEMD,nome/primeiro,nome/último,idade,género,morada,modalidade,clube,email,federado,resultado
6045074cd77860ac9483d34e,0,2020-02-25,Delgado,Gay,28,F,Gloucester,BTT,ACRroriz,delgado.gay@acrroriz.biz,true,true
6045074ca6adebd591b5d239,1,2019-07-31,Foreman,Prince,34,M,Forestburg,Ciclismo,ACDRcrespos,foreman.prince@acdrcrespos.org,false,true
6045074c221e2fdf430e9ef0,2,2021-01-06,Cheryl,Berger,21,M,Umapine,Basquetebol,Vitoria,cheryl.berger@vitoria.biz,false,true
6045074c529cbdce549d3923,3,2020-11-19,Graves,Goff,29,F,Babb,Andebol,AVCfamalicão,graves.goff@avcfamalicão.co.uk,false,false
6045074c3319a0f9e79aad87,4,2019-09-01,Mckay,Bolton,29,F,Chilton,Futebol,ACDRcrespos,mckay.bolton@acdrcrespos.me,false,false
6045074c222607e7520ffd24,5,2019-10-07,Marla,Kelley,22,M,Clarence,Atletismo,AmigosMontanha,marla.kelley@amigosmontanha.tv,false,false
6045074c344b052551309595,6,2020-12-11,Merrill,Maddox,34,M,Roderfield,Equitação,ACRroriz,merrill.maddox@acrroriz.com,false,true
6045074c6619e6ba7eca2f8d,7,2019-03-12,Nikki,Calderon,22,F,Brethren,Patinagem,EDViana,nikki.calderon@edviana.name,true,false
6045074c0ae66598285ff526,8,2020-12-09,Lucia,Bright,35,F,Onton,Orientação,GDGoma,lucia.bright@gdgoma.info,true,false
6045074c1e1efe942191e3f9,9,2020-01-26,Faith,Wells,31,F,Grantville,Basquetebol,EDViana,faith.wells@edviana.ca,true,true
6045074cb789f82702d32997,10,2019-03-29,Milagros,Osborn,22,M,Dunlo,Patinagem,GDGoma,milagros.osborn@gdgoma.io,false,false
6045074c8eaa8b6bbed6bfc9,11,2019-09-08,Valentine,Sellers,27,F,Odessa,Patinagem,EDViana,valentine.sellers@edviana.net,true,true
6045074c6c87caf7f00f0050,12,2019-05-10,Martha,Hyde,26,M,Dupuyer,Triatlo,Vitoria,martha.hyde@vitoria.biz,false,false
6045074cfdc3867699e6852a,13,2019-04-22,Beck,Stevenson,35,F,Barclay,Dança,SCBraga,beck.stevenson@scbraga.org,true,false
6045074ca84d18be9281b55a,14,2019-05-05,Lester,Strong,21,M,Freetown,Patinagem,GDGoma,lester.strong@gdgoma.biz,false,false
6045074cbea2f209cb62a712,15,2020-03-19,Sharon,Bradley,30,M,Hiseville,Futebol,AVCfamalicão,sharon.bradley@avcfamalicão.co.uk,true,false
